SOUTHEAST ASIAN CLIMATE ASSESSMENT & DATASET (SACA&D), file created on 10-05-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2011. Daily dataset for climate extremes
analyses in Southeast Asia.
In preparation
Data and metadata available at http://saca-bmkg.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INDONESIA, 	STASIUN METEOROLOGI MARITIM TANJUNG PRIOK	 (STAID: 101).
Blended and updated with sources: 100001 100101 101985 101987 996741 996745 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100101,18661019,    0,    0
100101,18661020,    0,    0
100101,18661021,    0,    0
100101,18661022,    5,    0
100101,18661023,   24,    0
100101,18661024,    6,    0
100101,18661025,   13,    0
100101,18661026,  710,    0
100101,18661027,    0,    0
100101,18661028,    0,    0
100101,18661029,    0,    0
100101,18661030,    0,    0
100101,18661031,    0,    0
100101,18661101,   19,    0
100101,18661102,    0,    0
100101,18661103,    0,    0
100101,18661104,    0,    0
100101,18661105,    0,    0
100101,18661106,    0,    0
100101,18661107,    0,    0
100101,18661108,    0,    0
100101,18661109,    0,    0
100101,18661110,    0,    0
100101,18661111,    0,    0
100101,18661112,    0,    0
100101,18661113,   70,    0
100101,18661114,    0,    0
100101,18661115,    0,    0
100101,18661116,   26,    0
100101,18661117,    0,    0
100101,18661118,    0,    0
100101,18661119,   72,    0
100101,18661120,   48,    0
100101,18661121,  199,    0
100101,18661122,    0,    0
100101,18661123,    0,    0
100101,18661124,  206,    0
100101,18661125,-9999,    9
100101,18661126,    0,    0
100101,18661127,    0,    0
100101,18661128,    0,    0
100101,18661129,    3,    0
100101,18661130,   40,    0
100101,18661201,    0,    0
100101,18661202,-9999,    9
100101,18661203,    0,    0
100101,18661204,    0,    0
100101,18661205,  278,    0
100101,18661206,  383,    0
100101,18661207,   84,    0
100101,18661208,    0,    0
100101,18661209,    0,    0
100101,18661210,   18,    0
100101,18661211,    0,    0
100101,18661212,    0,    0
100101,18661213,    4,    0
100101,18661214,    0,    0
100101,18661215,    7,    0
100101,18661216,    0,    0
100101,18661217,   26,    0
100101,18661218,   49,    0
100101,18661219,  672,    0
100101,18661220,  266,    0
100101,18661221,  151,    0
100101,18661222,    6,    0
100101,18661223,-9999,    9
100101,18661224,  191,    0
100101,18661225,   25,    0
100101,18661226,  481,    0
100101,18661227,  361,    0
100101,18661228,   98,    0
100101,18661229,  740,    0
100101,18661230,-9999,    9
100101,18661231,   25,    0
100101,18670101,  660,    0
100101,18670102,  191,    0
100101,18670103,   12,    0
100101,18670104,    5,    0
100101,18670105,   22,    0
100101,18670106,-9999,    9
100101,18670107,  256,    0
100101,18670108,  462,    0
100101,18670109,  131,    0
100101,18670110, 1418,    0
100101,18670111,   88,    0
100101,18670112,    9,    0
100101,18670113,-9999,    9
100101,18670114,   50,    0
100101,18670115,  475,    0
100101,18670116,    5,    0
100101,18670117,   45,    0
100101,18670118,  195,    0
100101,18670119,   66,    0
100101,18670120,-9999,    9
100101,18670121,   95,    0
100101,18670122,   14,    0
100101,18670123,    0,    0
100101,18670124,  665,    0
100101,18670125,    9,    0
100101,18670126,   18,    0
100101,18670127,    0,    0
100101,18670128,  265,    0
100101,18670129,    0,    0
100101,18670130,    0,    0
100101,18670131,    0,    0
100101,18670201,  409,    0
100101,18670202,  578,    0
100101,18670203,-9999,    9
100101,18670204,  110,    0
100101,18670205,  113,    0
100101,18670206,  382,    0
100101,18670207,  225,    0
100101,18670208,    0,    0
100101,18670209,  315,    0
100101,18670210,-9999,    9
100101,18670211,    0,    0
100101,18670212,   73,    0
100101,18670213,  206,    0
100101,18670214,  302,    0
100101,18670215,   12,    0
100101,18670216,   71,    0
100101,18670217,-9999,    9
100101,18670218,    0,    0
100101,18670219,    0,    0
100101,18670220, 1138,    0
100101,18670221,  391,    0
100101,18670222,  124,    0
100101,18670223,   57,    0
100101,18670224,-9999,    9
100101,18670225,   52,    0
100101,18670226,  181,    0
100101,18670227,   89,    0
100101,18670228,   49,    0
100101,18670301,    0,    0
100101,18670302,    0,    0
100101,18670303,    0,    0
100101,18670304,    5,    0
